timestamp,game,latency,map,killer,victim,points
2024-05-23 12:29:04,8,200,aggressor,Player_172.19.119.51,Player_172.19.117.18,20
2024-05-23 12:29:10,8,200,aggressor,Player_172.19.137.208,Player_172.19.116.18,20
2024-05-23 12:29:14,8,200,aggressor,Player_172.19.114.48,Player_172.19.119.51,20
2024-05-23 12:29:16,8,200,aggressor,Player_172.19.137.208,Player_172.19.120.104,21
2024-05-23 12:29:18,8,200,aggressor,Player_172.19.137.208,Player_172.19.114.48,22
2024-05-23 12:29:26,8,200,aggressor,Player_172.19.117.18,Player_172.19.119.51,0
2024-05-23 12:29:56,9,200,wrackdm17,<world>,Player_172.19.114.48,0
2024-05-23 12:30:00,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,1
2024-05-23 12:30:04,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,1
2024-05-23 12:30:15,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,1
2024-05-23 12:30:20,9,200,wrackdm17,Player_172.19.120.104,Player_172.19.119.51,1
2024-05-23 12:30:26,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,1
2024-05-23 12:30:29,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,2
2024-05-23 12:30:34,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,2
2024-05-23 12:30:38,9,200,wrackdm17,<world>,Player_172.19.117.18,0
2024-05-23 12:30:40,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.120.104,3
2024-05-23 12:30:41,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,4
2024-05-23 12:30:48,9,200,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:30:56,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.116.18,2
2024-05-23 12:31:02,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,1
2024-05-23 12:31:08,9,200,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:31:12,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.114.48,3
2024-05-23 12:31:15,9,200,wrackdm17,<world>,Player_172.19.137.208,2
2024-05-23 12:31:29,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,3
2024-05-23 12:31:29,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,5
2024-05-23 12:31:41,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.116.18,6
2024-05-23 12:31:43,9,200,wrackdm17,<world>,Player_172.19.137.208,1
2024-05-23 12:31:45,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,2
2024-05-23 12:31:48,9,200,wrackdm17,<world>,Player_172.19.137.208,0
2024-05-23 12:32:01,9,200,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:32:03,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,3
2024-05-23 12:32:07,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.116.18,4
2024-05-23 12:32:16,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.116.18,5
2024-05-23 12:32:18,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,4
2024-05-23 12:32:21,9,200,wrackdm17,<world>,Player_172.19.114.48,5
2024-05-23 12:32:22,9,200,wrackdm17,<world>,Player_172.19.137.208,0
2024-05-23 12:32:22,9,200,wrackdm17,<world>,Player_172.19.117.18,4
2024-05-23 12:32:29,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.116.18,5
2024-05-23 12:32:30,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.120.104,5
2024-05-23 12:32:35,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,6
2024-05-23 12:32:36,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.114.48,1
